1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
310	-1.224452	90.701907	30.434626	0.002513	11
311	-1.202247	90.594713	30.463860	0.003680	11
312	-1.220025	91.594712	30.193298	0.002122	11
313	-1.211272	91.487518	30.222071	0.003701	11
314	-1.244894	92.487501	29.955772	0.001915	11
315	-1.198949	92.578851	29.931679	0.005948	11
316	-1.219798	92.519342	29.947370	0.002372	11
317	-1.195276	93.519342	29.685865	0.003111	11
318	-1.205979	93.682110	29.643732	0.002232	11
319	-1.217994	93.574916	29.671466	0.004181	11
320	-1.219252	93.467721	29.699252	0.003061	11
321	-1.200416	94.467721	29.442044	0.004585	11
322	-1.213903	94.360527	29.469402	0.003970	11
323	-1.187411	95.360527	29.216142	0.001226	11
324	-1.194776	95.253364	29.243074	0.001940	11
325	-1.224431	95.185308	29.260203	0.002400	11
326	-1.231703	95.326981	29.224568	0.001949	11
327	-1.219722	95.219983	29.251473	0.001848	11
328	-1.237568	95.118025	29.277158	0.002431	11
329	-1.248971	95.010836	29.304208	0.004399	11
330	-1.244741	96.010836	29.053768	0.002498	11
331	-1.232828	96.417120	28.953237	0.002453	11
332	-1.229060	97.262867	28.746180	0.002831	11
333	-1.218510	97.329246	28.730055	0.001667	11
334	-1.240897	97.223270	28.755809	0.002215	11
335	-1.218644	97.116619	28.781773	0.002714	11
336	-1.252374	97.009444	28.807912	0.005319	11
337	-1.215874	98.009443	28.565848	0.001761	11
338	-1.208085	99.005029	28.328860	0.004135	11
339	-1.179707	98.897848	28.354185	0.002269	11
340	-1.216327	98.790653	28.379557	0.001834	11
341	-1.220941	99.780630	28.146945	0.001821	11
342	-1.218089	99.684480	28.169370	0.003081	11
343	-1.215963	100.683945	27.937997	0.002136	11
344	-1.213938	100.603320	27.956521	0.003742	11
345	-1.203832	101.600847	27.729056	0.002523	11
346	-1.229331	101.493653	27.753321	0.002383	11
347	-1.166233	101.386460	27.777629	0.002651	11
348	-1.206815	102.383028	27.553269	0.002306	11
349	-1.252118	102.275834	27.577228	0.002150	11
350	-1.237689	102.170133	27.600893	0.003567	11
351	-1.225804	102.878767	27.443006	0.002788	11
352	-1.209358	103.878767	27.223248	0.002894	11
353	-1.255935	103.771575	27.246636	0.003141	11
354	-1.199176	104.771572	27.030001	0.001904	11
355	-1.213011	104.664386	27.053056	0.002962	11
356	-1.204261	104.557252	27.076140	0.003515	11
357	-1.225684	104.450072	27.099273	0.001913	11
358	-1.216210	104.876156	27.007543	0.003846	11
359	-1.241968	105.873440	26.795251	0.003801	11
360	-1.240671	105.766246	26.817910	0.003420	11
361	-1.231341	105.659052	26.840606	0.003216	11
362	-1.229854	106.659052	26.630354	0.003816	11
363	-1.252058	106.554057	26.652274	0.002708	11
364	-1.237512	106.451064	26.673812	0.002273	11
365	-1.222706	106.615817	26.639376	0.002797	11
366	-1.212873	106.625879	26.637276	0.002133	11
367	-1.219490	106.519387	26.659521	0.003532	11
368	-1.222003	106.412195	26.681949	0.002627	11
369	-1.223630	107.412188	26.474167	0.002116	11
370	-1.208563	107.317624	26.493677	0.002179	11
371	-1.211946	107.210443	26.515825	0.001948	11
372	-1.182686	107.423937	26.471745	0.004108	11
373	-1.232256	107.316744	26.493859	0.001561	11
374	-1.202727	107.253447	26.506935	0.003145	11
375	-1.217734	107.255951	26.506417	0.005642	11
376	-1.201837	107.148757	26.528589	0.002422	11
377	-1.213901	108.148646	26.323201	0.002442	11
378	-1.209278	108.041470	26.345063	0.002079	11
379	-1.243334	109.021567	26.146475	0.002526	11
380	-1.207188	108.997634	26.151289	0.002733	11
381	-1.250688	108.890467	26.172865	0.002680	11
382	-1.232049	109.827905	25.985326	0.002361	11
383	-1.229117	109.804066	25.990061	0.002988	11
384	-1.228818	109.696872	26.011378	0.002780	11
385	-1.218135	110.692512	25.814723	0.004272	11
386	-1.204465	111.690741	25.620520	0.005108	11
387	-1.192491	112.690741	25.428879	0.001940	11
388	-1.235025	112.583546	25.449285	0.001165	11
389	-1.189206	112.522525	25.460915	0.001277	11
390	-1.235427	112.456557	25.473501	0.002330	11
391	-1.210395	112.375901	25.488905	0.002931	11
392	-1.231822	112.299257	25.503561	0.001711	11
393	-1.202842	113.190804	25.334118	0.005563	11
394	-1.235400	114.190783	25.146727	0.002561	11
395	-1.238327	114.083589	25.166682	0.002394	11
396	-1.239208	114.607726	25.069410	0.004968	11
397	-1.220559	114.500532	25.089243	0.002113	11
398	-1.222322	115.500532	24.905439	0.002740	11
399	-1.200377	115.393427	24.924997	0.003525	11
400	-1.225470	116.393427	24.743583	0.003227	11
401	-1.239499	117.393425	24.564792	0.003259	11
402	-1.205233	118.393424	24.388566	0.001747	11
403	-1.209918	118.287203	24.407165	0.001990	11
404	-1.214808	118.180310	24.425910	0.003182	11
405	-1.227239	119.172337	24.253043	0.001953	11
406	-1.251900	119.065143	24.271604	0.001771	11
407	-1.204899	118.968831	24.288305	0.002063	11
408	-1.190976	118.865012	24.306334	0.001717	11
409	-1.211479	118.758755	24.324814	0.001762	11
410	-1.243766	118.652011	24.343407	0.001448	11
411	-1.237779	119.174682	24.252637	0.003544	11
412	-1.224959	119.080347	24.268970	0.001436	11
413	-1.214679	118.978552	24.286619	0.003145	11
414	-1.203989	119.904056	24.127096	0.003943	11
415	-1.225225	119.896639	24.128366	0.002513	11
416	-1.211768	119.789444	24.146737	0.002600	11
417	-1.212491	119.682251	24.165136	0.001323	11
418	-1.242431	119.589171	24.181135	0.003422	11
419	-1.196673	120.577957	24.012253	0.001870	11
420	-1.225838	120.471075	24.030394	0.003121	11
421	-1.236287	120.593404	24.009633	0.002790	11
422	-1.224237	121.589061	23.841981	0.003588	11
423	-1.219991	121.481887	23.859915	0.004655	11
424	-1.219249	121.374692	23.877879	0.002021	11
425	-1.245587	121.267501	23.895870	0.004116	11
426	-1.213518	121.273925	23.894791	0.002608	11
427	-1.206263	122.269639	23.728724	0.001497	11
